OBJECTID,Shape,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
1126665,b'\x00\x01\xad\x10\x00\x00TB\x1e\x91\xd4E]\xc0\xc0Bt\xe2\x94mA@TB\x1e\x91\xd4E]\xc0\xc0Bt\xe2\x94mA@|\x01\x00\x00\x00TB\x1e\x91\xd4E]\xc0\xc0Bt\xe2\x94mA@\xfe',1374139,CDF_1995_55_2221_10719       ,NONFED,ST-CACDF,ST/C&L,USCABDU,San Bernardino Unit,CABDU,CDF - San Bernardino Unit,,10719       ,,FREEWAY                  ,,,,,,1995,6/11/1995,162,,Human,Missing data/not specified/undetermined,,,,,0.4,B,34.85611111,-117.09111111,MISSING/NOT SPECIFIED,CA,,,
1069297,b'\x00\x01\xad\x10\x00\x00\x0cP\x1aj\xf4\xdd]\xc0\xc8\xc2\xe4n\x99\x89B@\x0cP\x1aj\xf4\xdd]\xc0\xc8\xc2\xe4n\x99\x89B@|\x01\x00\x00\x00\x0cP\x1aj\xf4\xdd]\xc0\xc8\xc2\xe4n\x99\x89B@\xfe',1305062,SFO-2005CACDFFKU010662,NONFED,ST-CACDF,ST/C&L,USCAFKU,Fresno-Kings Unit,CAFKU,CDF - Fresno-Kings Unit,,010662      ,,CARBON                   ,,,,,,2005,9/8/2005,251,1303.0,Human,Equipment and vehicle use,,9/8/2005,251.0,1324.0,0.1,A,37.075,-119.46805555,MISSING/NOT SPECIFIED,CA,FRESNO,6019.0,Fresno County
2125753,b'\x00\x01\xad\x10\x00\x00\xc0\xd15cv\x91^\xc0(\x8e\xcbqT\xe8B@\xc0\xd15cv\x91^\xc0(\x8e\xcbqT\xe8B@|\x01\x00\x00\x00\xc0\xd15cv\x91^\xc0(\x8e\xcbqT\xe8B@\xfe',400410842,SFO-2006CACDFSCU003306,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,SCU003306,,,,,,,,2006,6/10/2006,161,957.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.2,A,37.815082,-122.272864,MISSING/NOT SPECIFIED,CA,ALAMEDA,6001.0,Alameda County
1087358,b'\x00\x01\xad\x10\x00\x00\xd0\xc1\xa6@\xb9\xd1]\xc0\xa8\xfa>\x84G\xf1A@\xd0\xc1\xa6@\xb9\xd1]\xc0\xa8\xfa>\x84G\xf1A@|\x01\x00\x00\x00\xd0\xc1\xa6@\xb9\xd1]\xc0\xa8\xfa>\x84G\xf1A@\xfe',1325802,SFO-2005CACDFTUU006666,NONFED,ST-CACDF,ST/C&L,USCATUU,Tulare Unit,CATUU,Tulare Unit,,006666      ,,SUPRR#6                  ,,,,,,2005,6/17/2005,168,1655.0,Human,Railroad operations and maintenance,,6/17/2005,168.0,1715.0,1.5,B,35.885,-119.27694444,MISSING/NOT SPECIFIED,CA,TULARE,6107.0,Tulare County
2027549,b'\x00\x01\xad\x10\x00\x00\xa8\thC\xfax^\xc0\xe0\xb6\x9a\x08\xaa\xe8B@\xa8\thC\xfax^\xc0\xe0\xb6\x9a\x08\xaa\xe8B@|\x01\x00\x00\x00\xa8\thC\xfax^\xc0\xe0\xb6\x9a\x08\xaa\xe8B@\xfe',400157830,SFO-2017CACDFSCU000591,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,SCU000591,,,,,,,,2017,8/3/2017,215,711.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.5,B,37.817694,-121.890288,MISSING/NOT SPECIFIED,CA,CONTRA COSTA,6013.0,Contra Costa County
2218829,b'\x00\x01\xad\x10\x00\x00\x98\xe8\xeb\xe0]6^\xc0`\xd6R\x1a\xd3mC@\x98\xe8\xeb\xe0]6^\xc0`\xd6R\x1a\xd3mC@|\x01\x00\x00\x00\x98\xe8\xeb\xe0]6^\xc0`\xd6R\x1a\xd3mC@\xfe',400555241,SFO-2019CACDFAEU001657,NONFED,ST-NASF,ST/C&L,USCAAEU,Amador-El Dorado Unit,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,AEU001657,,MARSHALL RD / BLACK OAK M,,,,,,2019,6/8/2019,159,1154.0,Human,Debris and open burning,,,,,0.1,A,38.85801,-120.849493,MISSING/NOT SPECIFIED,CA,EL DORADO,6017.0,El Dorado County
1107417,b'\x00\x01\xad\x10\x00\x00\x142\xecj\x91h^\xc0P\xc7\xda\x81h\xacC@\x142\xecj\x91h^\xc0P\xc7\xda\x81h\xacC@|\x01\x00\x00\x00\x142\xecj\x91h^\xc0P\xc7\xda\x81h\xacC@\xfe',1349427,SFO-2009-CACDFBTU003410,NONFED,ST-CACDF,ST/C&L,USCABTU,Butte Unit,CABTU,Butte Unit,,3410        ,,ALEXANDER AVE  GRDLY     ,,,,,,2009,3/27/2009,86,2119.0,Human,Missing data/not specified/undetermined,,,,,0.3,B,39.34694444,-121.63388888,MISSING/NOT SPECIFIED,CA,BUTTE,6007.0,Butte County
1973141,b'\x00\x01\xad\x10\x00\x00\xd8W\xd7\xce{\xa3^\xc0\xa0\rF\xad/hC@\xd8W\xd7\xce{\xa3^\xc0\xa0\rF\xad/hC@|\x01\x00\x00\x00\xd8W\xd7\xce{\xa3^\xc0\xa0\rF\xad/hC@\xfe',400098640,SFO-2016CACDFLNU004135,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU004135,,COYLE,,,,,,2016,5/22/2016,143,1025.0,Human,Missing data/not specified/undetermined,,,,,0.1,A,38.81396,-122.554445,MISSING/NOT SPECIFIED,CA,LAKE,6033.0,Lake County
1480030,b'\x00\x01\xad\x10\x00\x008\x0f8\\5@^\xc0P0\xb4\xbe\xb1\x83C@8\x0f8\\5@^\xc0P0\xb4\xbe\xb1\x83C@|\x01\x00\x00\x008\x0f8\\5@^\xc0P0\xb4\xbe\xb1\x83C@\xfe',201149820,SFO-2011CACDFNEU014761,NONFED,ST-NASF,ST/C&L,USCANEU,Nevada-Yuba-Placer Unit,CANEU,Nevada-Yuba-Placer Unit,,NEU014761,,PLACER,,,,,,2011,7/4/2011,185,1404.0,Human,Missing data/not specified/undetermined,,,,,1.0,B,39.028867,-121.00327,MISSING/NOT SPECIFIED,CA,PLACER,6061.0,Placer County
315925,b'\x00\x01\xad\x10\x00\x00\xe8\x97F\x9b\x1cS]\xc0\xd8\xf8\xb6G\xcc\xd4@@\xe8\x97F\x9b\x1cS]\xc0\xd8\xf8\xb6G\xcc\xd4@@|\x01\x00\x00\x00\xe8\x97F\x9b\x1cS]\xc0\xd8\xf8\xb6G\xcc\xd4@@\xfe',322491,W-568677,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,,D44Z,RAILROAD,,,,,,2005,7/7/2005,188,1332.0,Human,Equipment and vehicle use,,7/7/2005,188.0,1400.0,2.0,B,33.662489,-117.298633,PRIVATE,CA,Riverside,6065.0,Riverside County
1096786,b'\x00\x01\xad\x10\x00\x00\xc4u\xa2\x10\xc0\xa7^\xc0\xd0\xd2l\x90\xdc~C@\xc4u\xa2\x10\xc0\xa7^\xc0\xd0\xd2l\x90\xdc~C@|\x01\x00\x00\x00\xc4u\xa2\x10\xc0\xa7^\xc0\xd0\xd2l\x90\xdc~C@\xfe',1336270,CDF_1999_53_2211_566         ,NONFED,ST-CACDF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,566         ,,POND                     ,,,,,,1999,9/16/1999,259,,Human,Equipment and vehicle use,,,,,15.0,C,38.99111111,-122.62111111,MISSING/NOT SPECIFIED,CA,,,
1963485,b'\x00\x01\xad\x10\x00\x00\xe0\x9e^^\xdd\x17^\xc0`\xd6\x86U\xbf\x1aB@\xe0\x9e^^\xdd\x17^\xc0`\xd6\x86U\xbf\x1aB@|\x01\x00\x00\x00\xe0\x9e^^\xdd\x17^\xc0`\xd6\x86U\xbf\x1aB@\xfe',400088511,SFO-2016CACDFFKU006565,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,FKU006565,,MONTEREY,,,,,,2016,5/15/2016,136,1300.0,Human,Missing data/not specified/undetermined,,5/15/2016,136.0,1334.0,0.6,B,36.208969,-120.372899,MISSING/NOT SPECIFIED,CA,FRESNO,6019.0,Fresno County
1086577,b'\x00\x01\xad\x10\x00\x00pZ\\\x88\x9a\xc4]\xc0\xe0!\x1a\xb7z\x14B@pZ\\\x88\x9a\xc4]\xc0\xe0!\x1a\xb7z\x14B@|\x01\x00\x00\x00pZ\\\x88\x9a\xc4]\xc0\xe0!\x1a\xb7z\x14B@\xfe',1324948,SFO-2002CACDFTUU005457,NONFED,ST-CACDF,ST/C&L,USCATUU,Tulare Unit,CATUU,Tulare Unit,,005457      ,,SAN JOAQUIN #1           ,,,,,,2002,6/4/2002,155,123.0,Human,Arson/incendiarism,,6/4/2002,155.0,149.0,0.3,B,36.16,-119.07194444,MISSING/NOT SPECIFIED,CA,TULARE,6107.0,Tulare County
2128823,b'\x00\x01\xad\x10\x00\x00\x08\xcb\xdc\xd2\x03\xa9\\\xc08\x8fa\xed\xe6oA@\x08\xcb\xdc\xd2\x03\xa9\\\xc08\x8fa\xed\xe6oA@|\x01\x00\x00\x00\x08\xcb\xdc\xd2\x03\xa9\\\xc08\x8fa\xed\xe6oA@\xfe',400414049,SFO-2007CACDFBDU700066,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,BDU700066,,,,,,,,2007,1/5/2007,5,802.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.1,A,34.87424,-114.64087,UNDEFINED FEDERAL,CA,SAN BERNARDINO,6071.0,San Bernardino County
2124478,b'\x00\x01\xad\x10\x00\x00\xb0\xdf\xc1\xec\xd1\x97]\xc0 \x00\xcd\xc7\x85\x01A@\xb0\xdf\xc1\xec\xd1\x97]\xc0 \x00\xcd\xc7\x85\x01A@|\x01\x00\x00\x00\xb0\xdf\xc1\xec\xd1\x97]\xc0 \x00\xcd\xc7\x85\x01A@\xfe',400409508,SFO-2006CACDFLAC002889,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LAC002889,,,,,,,,2006,2/7/2006,38,1605.0,Human,Equipment and vehicle use,,,,,1.0,B,34.0119,-118.3722,STATE,CA,LOS ANGELES,6037.0,Los Angeles County
1118427,b'\x00\x01\xad\x10\x00\x00\xf4\x18\xe2\xe1\x08\x8c^\xc0p\x94\xf1\x99\xb3\xd2C@\xf4\x18\xe2\xe1\x08\x8c^\xc0p\x94\xf1\x99\xb3\xd2C@|\x01\x00\x00\x00\xf4\x18\xe2\xe1\x08\x8c^\xc0p\x94\xf1\x99\xb3\xd2C@\xfe',1363893,SFO-2006CACDFSHU003562,NONFED,ST-CACDF,ST/C&L,USCASHU,Shasta-Trinity Unit,CASHU,Shasta-Trinity Unit,,003562      ,,MALLARD                  ,,,,,,2006,5/24/2006,144,1130.0,Human,Debris and open burning,,5/24/2006,144.0,1200.0,0.5,B,39.64611111,-122.18805555,MISSING/NOT SPECIFIED,CA,SHASTA,6089.0,Shasta County
314293,b'\x00\x01\xad\x10\x00\x00\x10\xe2\xc2hsI]\xc0\xb0U\x843\xa9\xe5@@\x10\xe2\xc2hsI]\xc0\xb0U\x843\xa9\xe5@@|\x01\x00\x00\x00\x10\xe2\xc2hsI]\xc0\xb0U\x843\xa9\xe5@@\xfe',320708,W-562917,FED,DOI-WFMI,BLM,USCACDD,California Desert District,CACDD,California Desert District,,,D44Z,LOCAL,,,,,,2000,12/21/2000,356,2328.0,Human,Equipment and vehicle use,,12/21/2000,356.0,2345.0,0.1,A,33.794231,-117.147681,PRIVATE,CA,Riverside,6065.0,Riverside County
121323,b'\x00\x01\xad\x10\x00\x00\xe03l\xa3@\x13^\xc0@\xff\xe7\xe4\x10\xd1C@\xe03l\xa3@\x13^\xc0@\xff\xe7\xe4\x10\xd1C@|\x01\x00\x00\x00\xe03l\xa3@\x13^\xc0@\xff\xe7\xe4\x10\xd1C@\xfe',122547,FS-347605,FED,FS-FIRESTAT,FS,USCATNF,Tahoe National Forest,0517,Tahoe National Forest,38,,,ANTELOPE,,,,,,1999,8/9/1999,221,1730.0,Natural,Natural,,8/9/1999,221.0,2000.0,0.1,A,39.63333333,-120.30083333,USFS,CA,91,6091.0,Sierra County
1122094,b'\x00\x01\xad\x10\x00\x00\x0cB\xb5\xcb{\x9f^\xc0\xa0\x14jv\xb2#D@\x0cB\xb5\xcb{\x9f^\xc0\xa0\x14jv\xb2#D@|\x01\x00\x00\x00\x0cB\xb5\xcb{\x9f^\xc0\xa0\x14jv\xb2#D@\xfe',1368704,SFO-2007CACDFTGU005971,NONFED,ST-CACDF,ST/C&L,USCATGU,Tehama-Glenn Unit,CATGU,Tehama-Glenn Unit,,005971      ,,36IC TAC 3               ,,,,,,2007,8/20/2007,232,2347.0,Human,Missing data/not specified/undetermined,,,,,1.0,B,40.27888888,-122.49194444,MISSING/NOT SPECIFIED,CA,TEHAMA,6103.0,Tehama County
2121338,"b""\x00\x01\xad\x10\x00\x00d\x7f\xeai\x11\x89]\xc0\xc8I'\xa0v\xe6@@d\x7f\xeai\x11\x89]\xc0\xc8I'\xa0v\xe6@@|\x01\x00\x00\x00d\x7f\xeai\x11\x89]\xc0\xc8I'\xa0v\xe6@@\xfe""",400406154,SFO-2005CACDFLAC002268,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LAC002268,,,,,,,,2005,6/28/2005,179,1641.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,1.0,B,33.8005,-118.1417,MISSING/NOT SPECIFIED,CA,LOS ANGELES,6037.0,Los Angeles County
1138716,b'\x00\x01\xad\x10\x00\x00t$\xcc\xf1\x00\x0b]\xc0\x00@g\xa2\xed\xc7@@t$\xcc\xf1\x00\x0b]\xc0\x00@g\xa2\xed\xc7@@|\x01\x00\x00\x00t$\xcc\xf1\x00\x0b]\xc0\x00@g\xa2\xed\xc7@@\xfe',1389269,CDF_1995_55_2225_14027       ,NONFED,ST-CACDF,ST/C&L,USCARRU,Riverside Unit,CARRU,CDF - Riverside Unit,,14027       ,,LOCAL                    ,,,,,,1995,7/26/1995,207,,Human,Missing data/not specified/undetermined,,,,,0.1,A,33.56194444,-116.17194444,MISSING/NOT SPECIFIED,CA,,,
2116255,b'\x00\x01\xad\x10\x00\x00H\x8dOO\xffI^\xc0\x00L6\xb1\x0fRC@H\x8dOO\xffI^\xc0\x00L6\xb1\x0fRC@|\x01\x00\x00\x00H\x8dOO\xffI^\xc0\x00L6\xb1\x0fRC@\xfe',400386978,SFO-2018CACDFAEU008782,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,AEU008782,,,,,,,,2018,6/6/2018,157,1147.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,1.0,B,38.641109,-121.156221,MISSING/NOT SPECIFIED,CA,SACRAMENTO,6067.0,Sacramento County
1094308,"b'\x00\x01\xad\x10\x00\x00\x0c\xf34L\x0c\x9d^\xc0p\x8f\x9d\x0b\xf1,C@\x0c\xf34L\x0c\x9d^\xc0p\x8f\x9d\x0b\xf1,C@|\x01\x00\x00\x00\x0c\xf34L\x0c\x9d^\xc0p\x8f\x9d\x0b\xf1,C@\xfe'",1333650,SFO-2000CACDFLNU004260,NONFED,ST-CACDF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,004260      ,,WHITLOCK                 ,,,,,,2000,7/21/2000,203,1938.0,Human,Smoking,,7/21/2000,203.0,1946.0,1.0,B,38.35111111,-122.45388888,MISSING/NOT SPECIFIED,CA,SONOMA,6097.0,Sonoma County
1067993,b'\x00\x01\xad\x10\x00\x00dwl\xf7\xd7N^\xc0@$*^\xa9;B@dwl\xf7\xd7N^\xc0@$*^\xa9;B@|\x01\x00\x00\x00dwl\xf7\xd7N^\xc0@$*^\xa9;B@\xfe',1303646,CDF_1999_56_2229_113         ,NONFED,ST-CACDF,ST/C&L,USCABEU,San Benito-Monterey Unit,CABEU,CDF - San Benito-Monterey Unit,,113         ,,BROSSEAU                 ,,,,,,1999,5/19/1999,139,,Human,Missing data/not specified/undetermined,,,,,2.0,B,36.46611111,-121.23194444,MISSING/NOT SPECIFIED,CA,,,
1976326,b'\x00\x01\xad\x10\x00\x000\xd8\xd0w\x9e5^\xc0\x08\x02\x87d\xc9vB@0\xd8\xd0w\x9e5^\xc0\x08\x02\x87d\xc9vB@|\x01\x00\x00\x000\xd8\xd0w\x9e5^\xc0\x08\x02\x87d\xc9vB@\xfe',400102107,SFO-2016CACDFMMU006985,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,MMU006985,,BANOS,,,,,,2016,4/17/2016,108,1359.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,4/17/2016,108.0,1500.0,25.0,C,36.928026,-120.83781,MISSING/NOT SPECIFIED,CA,MERCED,6047.0,Merced County
1786077,"b""\x00\x01\xad\x10\x00\x00h'@\xd0\x0e(^\xc0\xf0\xe0\xa7D.\x84B@h'@\xd0\x0e(^\xc0\xf0\xe0\xa7D.\x84B@|\x01\x00\x00\x00h'@\xd0\x0e(^\xc0\xf0\xe0\xa7D.\x84B@\xfe""",300147356,SFO-2014CACDFMMU009238,NONFED,ST-NASF,ST/C&L,USCAMMU,Merced-Mariposa Unit,CAMMU,CDF - Merced-Mariposa Unit,,MMU009238,,,,,,,,2014,5/29/2014,149,2142.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,5/29/2014,149.0,2149.0,0.1,A,37.032667,-120.625917,MISSING/NOT SPECIFIED,CA,MERCED,6047.0,Merced County
